Year,Month,Product_ID,Country,Sales
2014,6,1,Argentina,0.0
2013,1,4,Finland,21192380.351999998
2013,5,1,Argentina,3906.0
2013,8,4,Finland,1469190.528
2013,11,2,Denmark,1994985.776
2014,12,4,Finland,5940946.153999999
2015,12,2,Denmark,0.0
2014,12,1,Columbia,106.848
2013,5,1,Columbia,20.573040000000002
2014,2,5,England,98110.98
2016,3,2,Columbia,2304.0
2014,11,1,Argentina,374976.0
2013,1,2,Denmark,0.0
2016,4,3,Columbia,35.616
2014,8,4,Finland,0.0
2013,2,1,Argentina,511686.0
2015,8,2,Columbia,192.0
2015,11,1,Argentina,464814.0
2015,7,2,Columbia,768.0
2015,2,4,Finland,4122264.6139999996
2013,5,2,Denmark,49874.6444
2015,3,2,Argentina,5913.857599999999
2016,1,2,Columbia,2265.6
2013,2,2,Columbia,38.4
2015,12,2,Denmark,-52368.382
2015,5,1,Columbia,17.808
2013,8,2,Denmark,3989971.552
2013,6,1,Columbia,822.9216
2014,5,1,Columbia,205.7304
2013,7,5,England,29433.293999999998
2015,10,1,Columbia,89.04
2015,3,1,Columbia,178.08
2014,5,2,Argentina,65052.4336
2013,12,1,Columbia,308.5956
2015,1,2,Denmark,0.0
2013,9,2,Denmark,18952364.871999998
2013,11,2,Columbia,38.4
2015,5,1,Argentina,929628.0
2013,12,4,Finland,2286947.52
2013,8,1,Columbia,144.01128
2014,1,2,Denmark,9426308.76
2015,4,2,Argentina,88707.864
2015,7,2,Columbia,38.4
2015,8,2,Columbia,307.2
2016,2,2,Columbia,384.0
2016,3,1,Argentina,1171800.0
2014,10,2,Denmark,0.0
2014,9,2,Columbia,0.0
2013,12,2,Denmark,997492.888
2013,2,4,Finland,173253.59999999998
2013,7,2,Denmark,0.0
2016,1,1,Columbia,356.16
2016,6,3,Columbia,178.08
2015,10,1,Columbia,0.0
2014,11,2,Columbia,307.2
2013,6,4,Finland,8981466.623999998
2014,4,2,Denmark,12468.688
2013,2,1,Columbia,617.1912
2013,11,4,England,18186.7095
2013,6,2,Denmark,0.0
2015,2,2,Columbia,115.2
2013,7,2,Columbia,230.4
2014,12,1,Columbia,0.0
2015,4,2,Denmark,0.0
2013,11,5,England,9811.098
2014,1,2,Denmark,13615779.32
2015,3,1,Argentina,0.0
2015,6,1,Argentina,343728.0
2016,3,2,Denmark,3316912.032
2015,3,2,Columbia,192.0
2014,5,2,Denmark,0.0
2016,3,3,Columbia,17.808
2013,10,1,Columbia,205.7304
2013,6,5,England,1643358.9149999998
2016,1,2,Columbia,153.6
2014,1,2,Columbia,38.4
2016,3,2,Belgium,12673585.188
2014,4,1,Columbia,102.8652
2015,9,1,Columbia,178.08
2014,4,1,Columbia,246.87648000000002
2014,7,2,Denmark,0.0
2014,7,1,Argentina,93744.0
2014,11,4,Finland,16974104.367999997
2015,11,1,Columbia,623.28
2015,9,2,Argentina,413970.032
2015,9,2,Columbia,1228.8
2013,10,1,Argentina,6757380.0
2013,2,2,Denmark,0.0
2014,10,2,Columbia,268.8
2013,5,4,Finland,4878821.375999999
2015,9,1,Columbia,267.12
2013,6,2,Denmark,94761824.36
2014,10,5,England,63773.92799999999
2014,11,3,Columbia,712.32
2015,5,2,Denmark,0.0
2015,7,1,Columbia,17.808
2016,3,2,Columbia,0.0
2014,1,1,Argentina,78120.0
2014,6,2,Columbia,230.4
2014,2,2,Columbia,76.8
2014,8,2,Denmark,0.0
2013,3,1,Columbia,246.87648000000002
2014,7,4,England,72743.25600000001
2014,7,2,Denmark,0.0
2013,8,2,Columbia,38.4
2016,11,3,Argentina,0.0
2013,12,5,England,19621.3005
2015,9,4,Finland,0.0
2013,1,4,Finland,6844210.214399999
2015,9,1,Argentina,15624.0
2013,12,1,Columbia,22.858800000000002
2014,5,1,Columbia,20.573040000000002
2013,12,1,Argentina,1953000.0
2016,2,2,Denmark,0.0
2015,12,2,Denmark,31924093.632000003
2014,6,2,Columbia,115.2
2014,6,2,Columbia,384.0
2016,4,3,Columbia,178.08
2015,3,1,Columbia,445.2
2014,12,2,Argentina,17741.572799999998
2015,10,2,Argentina,11827.715199999999
2015,3,2,Columbia,38.4
2014,3,1,Columbia,102.8652
2015,7,1,Columbia,267.12
2013,3,1,Columbia,0.0
2015,7,4,Finland,6207644.403999999
2013,4,1,Columbia,1748.7084000000002
2015,1,1,Columbia,71.232
2013,7,2,Columbia,115.2
2015,4,2,Denmark,50430775.4304
2016,5,3,Argentina,1249920.0
2014,11,2,Denmark,0.0
2015,4,1,Columbia,35.616
2015,9,2,Columbia,384.0
2013,6,4,Finland,1524631.68
2014,8,2,Denmark,5236838.2
2016,2,2,Columbia,0.0
2013,5,2,Argentina,59138.576
2015,12,2,Argentina,17741.572799999998
2015,6,4,Finland,7905064.466
2015,12,1,Columbia,178.08
2015,10,2,Denmark,0.0
2013,8,4,England,454645.35
2013,1,2,Columbia,38.4
2014,12,2,Columbia,76.8
2013,11,4,England,18185.814000000002
2015,9,2,Denmark,0.0
2014,2,2,Columbia,384.0
2014,4,2,Columbia,268.8
2015,1,2,Columbia,76.8
2014,4,2,Columbia,76.8
2016,2,3,Columbia,35.616
2014,10,1,Columbia,53.424
2013,3,2,Columbia,76.8
2015,9,1,Argentina,187488.0
2015,6,4,Finland,6425895.813999999
2015,6,4,England,541813.32
2013,9,1,Argentina,0.0
2016,3,2,Denmark,69102.33399999999
2016,10,3,Columbia,534.24
2016,8,3,Argentina,2499840.0
2014,5,5,England,49055.49
2013,6,1,Columbia,514.326
2013,5,4,England,681976.98
2014,5,2,Denmark,0.0
2014,2,4,England,9092.907000000001
2014,7,1,Columbia,164.58432000000002
2016,3,2,Argentina,106449.43680000001
2015,10,4,Finland,1182121.3443
2014,6,5,England,1349025.9749999999
2013,12,2,Denmark,0.0
2013,1,1,Columbia,0.0
